stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
997701,99999,2019,08,04,85.0,10,9999.9,0,1015.7,10,9999.9,0,999.9,0,0.0,10,999.9,999.9,86.0,*,82.6,*,0.0,I,999.9,0,0,0,0,0,0
994013,99999,2019,04,05,53.6,11,9999.9,0,1006.0,11,9999.9,0,999.9,0,7.3,11,12.0,999.9,56.3,*,50.5,*,0.0,I,999.9,0,0,0,0,0,0
917360,99999,2019,04,26,78.2,14,9999.9,0,1008.0,9,1005.4,9,999.9,0,999.9,0,999.9,999.9,84.0,*,73.4,*,0.0,G,999.9,0,0,0,0,0,0
994750,99999,2019,03,18,36.8,12,9999.9,0,1020.9,12,9999.9,0,999.9,0,15.7,12,21.0,999.9,39.6,*,32.2,*,0.0,I,999.9,0,0,0,0,0,0
898690,99999,2019,03,26,-10.8,9,9999.9,0,996.2,9,987.6,9,999.9,0,11.1,9,14.0,999.9,-0.2,*,-18.9,*,0.0,I,999.9,0,0,0,0,0,0
997694,99999,2019,06,15,64.3,14,9999.9,0,1020.0,14,9999.9,0,999.9,0,2.8,14,5.1,999.9,71.4,*,59.4,*,0.0,I,999.9,0,0,0,0,0,0
997988,99999,2019,02,04,26.4,13,9999.9,0,1008.6,12,9999.9,0,999.9,0,4.5,12,12.0,999.9,30.4,*,24.4,*,0.0,I,999.9,0,0,0,0,0,0
997294,99999,2019,05,22,61.6,14,9999.9,0,1020.5,14,9999.9,0,999.9,0,6.8,14,9.9,999.9,69.1,*,54.9,*,0.0,I,999.9,0,0,0,0,0,0
892620,99999,2019,03,18,9.3,9,9999.9,0,994.8,9,990.2,9,999.9,0,4.1,9,7.0,999.9,14.7,*,3.9,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,07,28,76.4,24,9999.9,0,1018.2,14,9999.9,0,999.9,0,11.9,14,14.0,999.9,82.2,*,73.6,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,08,12,75.2,23,9999.9,0,1014.0,12,9999.9,0,999.9,0,4.4,12,8.0,999.9,79.0,*,70.7,*,0.0,I,999.9,0,0,0,0,0,0
997364,99999,2019,06,17,79.1,12,9999.9,0,1012.0,12,9999.9,0,999.9,0,5.7,12,14.0,999.9,82.6,*,72.7,*,0.0,I,999.9,0,0,0,0,0,0
994430,99999,2019,03,22,67.5,12,9999.9,0,1018.0,11,9999.9,0,999.9,0,13.4,12,25.1,999.9,71.8,*,62.4,*,0.0,I,999.9,0,0,0,0,0,0
998216,99999,2019,02,22,18.6,12,9999.9,0,1025.8,12,9999.9,0,999.9,0,2.1,12,4.1,999.9,26.1,*,12.0,*,0.0,I,999.9,0,0,0,0,0,0
998491,99999,2019,01,30,44.7,11,9999.9,0,1025.3,11,9999.9,0,999.9,0,0.0,11,999.9,999.9,49.1,*,38.7,*,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,02,18,84.0,12,9999.9,0,1008.4,12,1004.2,10,999.9,0,3.4,12,5.4,999.9,90.9,,79.3,,0.0,I,999.9,0,0,0,0,0,0
997278,99999,2019,03,13,34.7,13,9999.9,0,1024.4,11,9999.9,0,999.9,0,6.0,11,8.9,999.9,39.4,*,29.8,*,0.0,I,999.9,0,0,0,0,0,0
997294,99999,2019,05,11,62.0,12,9999.9,0,1014.8,12,9999.9,0,999.9,0,5.0,12,7.0,999.9,65.3,*,56.1,*,0.0,I,999.9,0,0,0,0,0,0
994008,99999,2019,03,15,72.2,15,9999.9,0,1020.4,15,9999.9,0,999.9,0,7.1,15,8.9,999.9,75.9,*,68.4,*,0.0,I,999.9,0,0,0,0,0,0
041830,99999,2019,05,20,38.9,15,9999.9,0,1018.0,15,9999.9,0,999.9,0,9.1,15,13.0,999.9,39.2,,38.3,,0.0,I,999.9,0,0,0,0,0,0
997288,99999,2019,06,17,69.0,12,9999.9,0,1014.7,12,9999.9,0,999.9,0,6.7,12,13.0,999.9,72.1,*,67.1,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,01,08,41.0,24,9999.9,0,1008.5,12,9999.9,0,999.9,0,11.6,12,21.6,999.9,44.6,*,38.8,*,0.0,I,999.9,0,0,0,0,0,0
701333,26643,2019,02,13,-2.4,23,9999.9,0,1017.8,15,1016.4,23,2.8,23,22.0,23,33.0,39.0,1.9,*,-8.0,*,0.0,G,999.9,0,0,1,0,0,0
041750,99999,2019,04,04,37.7,15,9999.9,0,1014.0,15,9999.9,0,999.9,0,8.4,15,15.9,999.9,40.8,,35.8,,0.0,I,999.9,0,0,0,0,0,0
997369,99999,2019,06,17,82.2,11,9999.9,0,1011.1,11,9999.9,0,999.9,0,11.8,11,19.0,999.9,85.5,*,77.9,*,0.0,I,999.9,0,0,0,0,0,0
997701,99999,2019,02,26,68.6,11,9999.9,0,1024.5,11,9999.9,0,999.9,0,0.0,11,999.9,999.9,72.3,*,65.5,*,0.0,I,999.9,0,0,0,0,0,0
998492,99999,2019,06,15,64.2,14,9999.9,0,1012.0,14,9999.9,0,999.9,0,0.0,14,999.9,999.9,75.0,,50.0,,0.0,I,999.9,0,0,0,0,0,0
998482,99999,2019,06,17,81.0,14,9999.9,0,1011.2,14,9999.9,0,999.9,0,0.0,14,999.9,999.9,87.3,*,73.2,*,0.0,I,999.9,0,0,0,0,0,0
